Feature,Coefficient,Absolute Value
Tenure Months,-1.258281154352355,1.258281154352355
Monthly Charges,-0.7973876160013832,0.7973876160013832
Internet Service_Fiber optic,0.6993237744507663,0.6993237744507663
Dependents_Yes,-0.6911599911762407,0.6911599911762407
Contract_Two year,-0.5725688814527449,0.5725688814527449
Total Charges,0.5078292163822865,0.5078292163822865
Contract_One year,-0.3014229834993679,0.3014229834993679
Streaming TV_Yes,0.24162151273138685,0.24162151273138685
Streaming Movies_Yes,0.2311791184612628,0.2311791184612628
Multiple Lines_Yes,0.2145700758866023,0.2145700758866023
Payment Method_Electronic check,0.17723497888396023,0.17723497888396023
Paperless Billing_Yes,0.17608921710868192,0.17608921710868192
Partner_Yes,0.14613984538302927,0.14613984538302927
Online Security_Yes,-0.1229997561594582,0.1229997561594582
Tech Support_Yes,-0.10814781004926591,0.10814781004926591
Tech Support_No internet service,-0.08312764179705252,0.08312764179705252
Streaming TV_No internet service,-0.08312764179705252,0.08312764179705252
Internet Service_No,-0.08312764179705252,0.08312764179705252
Device Protection_No internet service,-0.08312764179705252,0.08312764179705252
Online Backup_No internet service,-0.08312764179705252,0.08312764179705252
Online Security_No internet service,-0.08312764179705252,0.08312764179705252
Streaming Movies_No internet service,-0.08312764179705252,0.08312764179705252
Device Protection_Yes,0.03373871324841484,0.03373871324841484
Payment Method_Mailed check,0.030018150114731797,0.030018150114731797
Payment Method_Credit card (automatic),-0.01683476756294491,0.01683476756294491
Online Backup_Yes,-0.010591415757367191,0.010591415757367191
Phone Service_Yes,-0.009092113239610563,0.009092113239610563
Multiple Lines_No phone service,0.0090921132395995,0.0090921132395995
Senior Citizen_Yes,0.007065963835253734,0.007065963835253734
Gender_Male,0.006865958093133448,0.006865958093133448
